Indicator,Per person state public health funding
Source,"Shortchanging America's Health, Investing in America's Health, The Impact of Chronic Underfunding on America's Public Health System, Trust for America's Health (TFAH).<br />
<br />
Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico, U.S. Census Bureau, Population Division.<br />
<br />
Suggested Citation:
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE]."
Notes,Dollar amount represents state per capita public health funding during the fiscal year. Figures represent state funding only. Data not available for 2006.
Description,Per capita public health funding in each state.


Fips,Location,TimeFrame,Data Type,Data,MOE
01,Alabama,2005,Dollars,68,
01,Alabama,2007,Dollars,52,
01,Alabama,2008,Dollars,58,
01,Alabama,2009,Dollars,64,
01,Alabama,2010,Dollars,68,
01,Alabama,2011,Dollars,70.19,
01,Alabama,2012,Dollars,74.39,
01,Alabama,2013,Dollars,63.44,
01,Alabama,2014,Dollars,59.22,
01,Alabama,2015,Dollars,59.2,
01,Alabama,2016,Dollars,59.95,
01,Alabama,2017,Dollars,56.43214,
01,Alabama,2018,Dollars,57.23,
01,Alabama,2019,Dollars,54.25,
01,Alabama,2020,Dollars,46.81,
01,Alabama,2021,Dollars,52.35,
01,Alabama,2022,Dollars,49.48,
01,Alabama,2023,Dollars,51.89,
02,Alaska,2005,Dollars,37,
02,Alaska,2007,Dollars,46,
02,Alaska,2008,Dollars,46,
02,Alaska,2009,Dollars,51,
02,Alaska,2010,Dollars,63,
02,Alaska,2011,Dollars,78.21,
02,Alaska,2012,Dollars,81.02,
02,Alaska,2013,Dollars,105.47,
02,Alaska,2014,Dollars,105.58,
02,Alaska,2015,Dollars,126.5,
02,Alaska,2016,Dollars,120.14,
02,Alaska,2017,Dollars,114.43666,
02,Alaska,2018,Dollars,96.52,
02,Alaska,2019,Dollars,98.25,
02,Alaska,2020,Dollars,215.15,
02,Alaska,2021,Dollars,90.17,
02,Alaska,2022,Dollars,91.15,
02,Alaska,2023,Dollars,87.85,
04,Arizona,2005,Dollars,15,
04,Arizona,2007,Dollars,20,
04,Arizona,2008,Dollars,18,
04,Arizona,2009,Dollars,13,
04,Arizona,2010,Dollars,10,
04,Arizona,2011,Dollars,8.47,
04,Arizona,2012,Dollars,7.59,
04,Arizona,2013,Dollars,7.63,
04,Arizona,2014,Dollars,8.4,
04,Arizona,2015,Dollars,9,
04,Arizona,2016,Dollars,9.04,
04,Arizona,2017,Dollars,8.83289,
04,Arizona,2018,Dollars,9.66,
04,Arizona,2019,Dollars,15.25,
04,Arizona,2020,Dollars,24.34,
04,Arizona,2021,Dollars,15.32,
04,Arizona,2022,Dollars,16.57,
04,Arizona,2023,Dollars,28.15,
05,Arkansas,2005,Dollars,51,
05,Arkansas,2007,Dollars,26,
05,Arkansas,2008,Dollars,27,
05,Arkansas,2009,Dollars,28,
05,Arkansas,2010,Dollars,36,
05,Arkansas,2011,Dollars,51.37,
05,Arkansas,2012,Dollars,50.92,
05,Arkansas,2013,Dollars,49.77,
05,Arkansas,2014,Dollars,47.94,
05,Arkansas,2015,Dollars,49,
05,Arkansas,2016,Dollars,53.56,
05,Arkansas,2017,Dollars,52.29329,
05,Arkansas,2018,Dollars,50.57,
05,Arkansas,2019,Dollars,48.23,
05,Arkansas,2020,Dollars,45.9,
05,Arkansas,2021,Dollars,42.94,
05,Arkansas,2022,Dollars,45.34,
05,Arkansas,2023,Dollars,44.89,
06,California,2005,Dollars,65,
06,California,2007,Dollars,78,
06,California,2008,Dollars,84,
06,California,2009,Dollars,71,
06,California,2010,Dollars,66,
06,California,2011,Dollars,64.85,
06,California,2012,Dollars,66.04,
06,California,2013,Dollars,63.76,
06,California,2014,Dollars,64.82,
06,California,2015,Dollars,56.2,
06,California,2016,Dollars,57.16,
06,California,2017,Dollars,61.69589,
06,California,2018,Dollars,65.71,
06,California,2019,Dollars,71.89,
06,California,2020,Dollars,69.87,
06,California,2021,Dollars,78.47,
06,California,2022,Dollars,130.29,
06,California,2023,Dollars,84.17,
08,Colorado,2005,Dollars,15,
08,Colorado,2007,Dollars,48,
08,Colorado,2008,Dollars,50,
08,Colorado,2009,Dollars,50,
08,Colorado,2010,Dollars,35,
08,Colorado,2011,Dollars,36.5,
08,Colorado,2012,Dollars,34.84,
08,Colorado,2013,Dollars,42.85,
08,Colorado,2014,Dollars,42.48,
08,Colorado,2015,Dollars,48.7,
08,Colorado,2016,Dollars,44.64,
08,Colorado,2017,Dollars,50.3202,
08,Colorado,2018,Dollars,50.3,
08,Colorado,2019,Dollars,51.25,
08,Colorado,2020,Dollars,55.3,
08,Colorado,2021,Dollars,51.48,
08,Colorado,2022,Dollars,53.22,
08,Colorado,2023,Dollars,73.93,
09,Connecticut,2005,Dollars,20,
09,Connecticut,2007,Dollars,23,
09,Connecticut,2008,Dollars,23,
09,Connecticut,2009,Dollars,27,
09,Connecticut,2010,Dollars,24,
09,Connecticut,2011,Dollars,22.26,
09,Connecticut,2012,Dollars,24.56,
09,Connecticut,2013,Dollars,27.49,
09,Connecticut,2014,Dollars,31.06,
09,Connecticut,2015,Dollars,31,
09,Connecticut,2016,Dollars,30.18,
09,Connecticut,2017,Dollars,29.04789,
09,Connecticut,2018,Dollars,31.06,
09,Connecticut,2019,Dollars,32.47,
09,Connecticut,2020,Dollars,35.01,
09,Connecticut,2021,Dollars,37.46,
09,Connecticut,2022,Dollars,39.16,
09,Connecticut,2023,Dollars,41.02,
10,Delaware,2005,Dollars,36,
10,Delaware,2007,Dollars,48,
